School,Grade Levels,Hours,Address
Junipero Serra Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","625 Holly Park Circle , San Francisco, California 94110"
Lafayette Elementary School,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","4545 Anza Street , San Francisco, California 94121"
Lakeshore Alternative Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","220 Middlefield Drive , San Francisco, California 94132"
Lawton Alternative School (K-8),"Elementary School, K-8 School, Middle School (TK, K, 1-8)","Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-4:00 pm","1570 31st Avenue , San Francisco, California 94122"
Leola M. Havard Early Education School,Early Education (PreK),Mo - Fr: 7:45 am-5:45 pm,"1360 Oakdale Avenue , San Francisco, California 94124"
Leonard R. Flynn Elementary School,"Early Education, Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","3125 Cesar Chavez Street , San Francisco, California 94110"
Longfellow Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","755 Morse Street , San Francisco, California 94112"
Lowell High School,High School (9-13),"Mo - Tu: 8:00 am-4:30 pm
We: 8:00 am-2:25 pm
Th - Fr: 8:00 am-4:30 pm","1101 Eucalyptus Drive , San Francisco, California 94132"
Malcolm X Academy Elementary School,"Early Education, Elementary School (TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","350 Harbor Road , San Francisco, California 94124"
Marina Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","3500 Fillmore Street , San Francisco, California 94123"
Marshall Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","1575 15th Street , San Francisco, California 94103"
McKinley Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","1025 14th Street , San Francisco, California 94114"
Miraloma Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","175 Omar Way , San Francisco, California 94127"
Mission Bay School,"Early Education, Elementary School (PreK, TK, K)",Mo - Fr: 7:50 am-2:05 pm,"1415 Owens Street , San Francisco, California 94158"
Mission Education Center,"Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","1670 Noe Street , San Francisco, California 94131"
Mission High School,High School (9-13),"Mo - Tu: 8:40 am-3:40 pm
We: 8:40 am-2:23 pm
Th - Fr: 8:40 am-3:40 pm","3750 18th Street , San Francisco, California 94114"
Monroe Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","260 Madrid Street , San Francisco, California 94112"
New Traditions Creative Arts Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","2049 Grove Street , San Francisco, California 94117"
Noriega Early Education School,"Early Education (PreK, TK)",Mo - Fr: 8:00 am-6:00 pm,"1775 44th Avenue , San Francisco, California 94122"
Paul Revere (PreK-8) School,"Early Education, Elementary School, K-8 School (PreK, TK, K, 1-8)","Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-4:00 pm","555 Tompkins Avenue , San Francisco, California 94110"
Phillip and Sala Burton Academic High School,High School (9-13),"Mo - Tu: 8:40 am-3:40 pm
We: 8:40 am-2:25 pm
Th - Fr: 8:40 am-3:40 pm","400 Mansell Street , San Francisco, California 94134"
Presidio Middle School,Middle School (6-8),"Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","450 30th Ave , San Francisco, California 94121"
Project Search,County School (13),,"2425 Geary Blvd , San Francisco, California 94115"
Raoul Wallenberg High School,High School (9-13),"Mo - Tu: 8:40 am-3:45 pm
We: 8:40 am-2:10 pm
Th - Fr: 8:40 am-3:45 pm","40 Vega Street , San Francisco, California 94115"
Raphael Weill Early Education School,Early Education (PreK),Mo - Fr: 7:30 am-5:30 pm,"1501 O'Farrell Street , San Francisco, California 94115"
